title,cast,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio
A Boy Named Charlie Brown,", Peter Robbins, Pamelyn Ferdin, Glenn Gilger, Andy Pforsich, Sally Dryer, Ann Altieri, Erin Sullivan, Lynda Mendelson, Christopher DeFaria, David Carey, Guy Pforsich, Bill Melendez",G,"Kids & family, 
                        
                        Comedy, 
                        
                        Animation",English,Bill Melendez,"Bill Melendez , Lee Mendelson",,"Dec 4, 1969 original","Mar 28, 2006",,1h 25m,National General Pictures,,
Snoopy Come Home,", Chad Webber, Robin Kohn, Stephen Shea, David Carey, Johanna Baer, Hilary Momberger, Christopher DeFaria, Linda Ercoli, Lynda Mendelson, Bill Melendez",G,"Kids & family, 
                        
                        Comedy, 
                        
                        Animation",English,Bill Melendez,"Bill Melendez , Lee Mendelson",,"Aug 9, 1972 original","Mar 28, 2006",,1h 20m,National General Pictures,,
Dick Johnson Is Dead,", Dick Johnson",PG-13 (Macabre Images|Thematic Elements),Documentary,English,Kirsten Johnson,"Katy Chevigny , Marilyn Ness",Nels Bangerter,,"Oct 2, 2020",,1h 29m,,,
My Heroes Were Cowboys,", Robin Wiltshire, Kate Wiltshire, Patrick Wiltshire",PG (Some Smoking),Documentary,English,Tyler Greco,,,,"Sep 16, 2021",,22m,,,
The Women and the Murderer,,,"Documentary, 
                        
                        Crime, 
                        
                        Drama",French (France),"Mona Achache , Patricia Tourancheau",,,,"Sep 9, 2021",,1h 32m,,,
Final Account,", Luke Holland",PG-13 (Thematic Material|Some Disturbing Images),Documentary,German,Luke Holland,"Luke Holland , John Battsek , Rieta Oord",,"May 21, 2021 limited","Jul 6, 2021",$276.0K,1h 34m,Focus Features,,Flat (1.85:1)
The River Runner,", Scott Lindgren",,Documentary,English,Rush Sturges,"Aidan Haley , Rush Sturges , Thayer Walker","Corinna Halloran , Thayer Walker",,"Oct 12, 2021",,1h 26m,,,
Misha and the Wolves,,PG-13 (Some Thematic Elements|Unsettling Images),Documentary,English,Sam Hobkinson,"Jurgen Buedts , Poppy Dixon , Al Morrow , Matt Wells , Gregory Zalcman","Sam Hobkinson , Sam Hobkinson",,"Aug 11, 2021",,1h 30m,,,
Pray Away,,PG-13 (Sexual References|Brief Partial Nudity|Mature Audiences|Brief Strong Language),"Documentary, 
                        
                        Lgbtq+",English,Kristine Stolakis,"Jessica Devaney , Anya Rous , Kristine Stolakis",,,"Aug 3, 2021",,1h 41m,,,
Fantastic Fungi,", Brie Larson, Tony D. Head",,Documentary,English,Louie Schwartzberg,"Lyn Davis Lear , Louie Schwartzberg , Elease Lui Stemp",Mark Monroe,"Oct 11, 2019 limited","Aug 7, 2020",$933.4K,1h 21m,Self Distributed,,Flat (1.85:1)
Lift Like a Girl,", Asmaa Ramadan, Essmat Mansour, Captain Ramadan, Noura Abdel-Sabour, Hanaa Rafat, Samar Habashy, Esraa Fahmy, Heba Saleh",,Documentary,Arabic,Mayye Zayed,,,,,,1h 30m,,,
This Changes Everything,", Naomi Klein, Stacey Arwen Raab",,Documentary,English,Avi Lewis,"Joslyn Barnes , Avi Lewis",Naomi Klein,"Oct 20, 2015 limited","Jan 12, 2016",$12.7K,1h 29m,FilmBuff,,
Born to Play,,,"Documentary, 
                        
                        Sports & fitness",English,Viridiana Lieberman,"Sam Bisbee , Theodora Dunlap , Viridiana Lieberman",,,"Jun 29, 2021",,1h 32m,,,
Awon Boyz,,,Documentary,English,Tolulope Itegboje,Tolulope Itegboje,,,,,38m,,,
Audible,", Amaree McKenstry",PG-13 (Brief Strong Language|Thematic Material),Documentary,English,Matthew Ogens,Geoff McLean,,,"Jul 1, 2021",,39m,,Dolby Digital,
Sisters on Track,", Tai Sheppard, Rainn Sheppard, Brooke Sheppard",PG (Brief Sex-Ed Discussion|Thematic Elements|Some Language),Documentary,English,"Corinne van der Borch , Tone Grøttjord-Glenne","Anita Rehoff Larsen , Tone Grøttjord-Glenne",,,"Jun 24, 2021",,1h 36m,,Dolby Digital,
Murder by the Coast,", Dolores Vázquez",,"Crime, 
                        
                        Documentary",Spanish,Tània Balló,,Tània Balló,,"Jun 23, 2021",,1h 28m,,,
The Reason I Jump,,,Documentary,English,Jerry Rothwell,"Jeremy Dear , Stevie Lee , Al Morrow",Naoki Higashida,"Jan 8, 2021 limited","May 9, 2021",,1h 22m,Kino Lorber,,
Picture a Scientist,,,Documentary,English,"Ian Cheney , Sharon Shattuck","Ian Cheney , Manette Pottle , Sharon Shattuck",,,"Jun 12, 2020",,1h 43m,,,
Hating Peter Tatchell,", Ian McKellen, Stephen Fry, Peter Tatchell",,Documentary,English (Australia),Christopher Amos,"Christopher Amos , Veronica Fury","Christopher Amos , Christopher Amos",,"May 20, 2021",,1h 31m,,,
The Last Days,", Quim Gutiérrez, José Coronado, Marta Etura, Leticia Dolera, Ivan Massagué, Pere Ventura, Mikel Iglesias, Momo Ballesteros, Pere Brasó",,"Mystery & thriller, 
                        
                        Sci-fi",Spanish (Spain),"Àlex Pastor , David Pastor","Mercedes Gamero , Alberto Marini , Pedro Uriol","Àlex Pastor , David Pastor",,"Jul 15, 2016",,1h 42m,,,
Free to Play,", Benedict Lim, Danil Ishutin, Clinton Loomis, Mark Adler",,Documentary,English,,,,,"Nov 19, 2016",,1h 15m,,,
Why Did You Kill Me?,", Crystal Theobald",,"Crime, 
                        
                        Documentary",English,Fredrick Munk,"Fredrick Munk , Julian Cautherley , Lucy Walker",,,"Apr 14, 2021",,1h 23m,,,
Coded Bias,", Joy Buolamwini",,Documentary,English,Shalini Kantayya,,Shalini Kantayya,,"Apr 5, 2021",,1h 30m,,,
Ibrahim a Fate to Define,,,Documentary,Arabic,Lina Al Abed,,,,"Apr 1, 2021",,1h 15m,,Dolby Digital,
Marked,", Tara Carroll, Samuel Child, Mark Colson, Tony Suraci",,Mystery & thriller,English,Dustin Voigt,,Dustin Voigt,,,,1h 36m,,,
Seaspiracy,,,Documentary,English,Ali Tabrizi,,,,"Mar 24, 2021",,1h 29m,,,
The Last Blockbuster,", Lauren Lapkus, Sandi Harding",,Documentary,English,Taylor Morden,Zeke Kamm,Zeke Kamm,,"Dec 15, 2020",,1h 26m,,,
The Most Unknown,", Anil Seth, Laurie Santos",,Documentary,English,Ian Cheney,Ian Cheney,,,"Aug 9, 2018",,1h 28m,,,
Canvas,,G,"Kids & family, 
                        
                        Drama, 
                        
                        Animation",English,Frank E. Abney III,Paige Johnstone,Frank E. Abney III,,"Dec 12, 2020",,9m,,,
If Anything Happens I Love You,,PG (Gun Violence|Strong Thematic Material),"Drama, 
                        
                        Animation",English,"Michael Govier , Will McCormack","Gerald Chamales , Maryann Garger , Gary Gilbert , Michael Govier","Michael Govier , Will McCormack",,"Nov 20, 2020",,12m,,,
We Are All For The Fatherland,,,Documentary,French (France),Maroun Bagdadi,,,,"Nov 11, 2020",,1h 15m,,,
Secrets of the Saqqara Tomb,,,Documentary,English,James Tovell,,,,"Oct 28, 2020",,1h 53m,,,
Bending the Arc,", Paul Farmer, Ophelia Dahl, Jim Kim Yong, Joia Mukherjee, Jeffrey Sachs",,Documentary,English,"Kief Davidson , Pedro Kos","Kief Davidson , Cori Shepherd Stern",Cori Shepherd Stern,"Oct 6, 2017 limited","Oct 22, 2020",$12.2K,1h 42m,Abramorama,,
Rooting for Roona,", Sandeep Vaishya",,"Documentary, 
                        
                        Drama",Bangla,"Pavitra Chalam , Akshay Shankar","Pavitra Chalam , Akshay Shankar",,,"Oct 15, 2020",,40m,,,
The Three Deaths of Marisela Escobedo,", Marisela Escobedo",,"Documentary, 
                        
                        Crime, 
                        
                        Drama",Spanish,Carlos Pérez Osorio,,,,"Oct 14, 2020",,1h 49m,,,
Bully,", Brad Renfro, Rachel Miner, Nick Stahl, Bijou Phillips, Michael Pitt, Kelli Garner, Daniel Franzese, Leo Fitzpatrick",R (Language|Drug Use|Sexual Content|Strong Violence),Drama,English,Larry Clark,"Don Murphy , Chris Hanley , Fernando Sulichin","Roger Pullis , Zachary Long , Jim Schutze","Jul 13, 2001 wide","Jan 22, 2002",$510.1K,1h 47m,Lionsgate Films,,
A Love Song for Latasha,", Brittany Hudson, Raigan Alex",,Documentary,English,Sophia Nahli Allison,"Janice Duncan , Fam Udeorji",,,"Sep 24, 2020",,19m,,,
My Octopus Teacher,", Craig Foster",,Documentary,English,"Pippa Ehrlich , James Reed",Craig Foster,"Pippa Ehrlich , James Reed",,"Sep 7, 2020",,1h 25m,,,
Rising Phoenix,", Prince Harry, Tatyana McFadden, Bebe Vio, Jonnie Peacock, Jean-Baptiste Alaize, Ellie Cole",PG-13 (Thematic Content|Brief Suggestive References|Some Strong Language|Brief Violent Images),Documentary,English (United Kingdom),"Ian Bonhôte , Peter Ettedgui","John Battsek , Greg Nugent",,,"Aug 26, 2020",,1h 46m,,,
John Was Trying to Contact Aliens,,,"Documentary, 
                        
                        Biography",English,Matthew Killip,Matthew Killip,,,"Aug 21, 2020",,16m,,,
The Speed Cubers,,,Documentary,English,Sue Kim,,,,"Jul 29, 2020",,40m,,,
Tread,,,Documentary,English,Paul Solet,,,"Feb 28, 2020 limited","Feb 28, 2020",$29.4K,1h 29m,Gravitas Ventures,,
Father Soldier Son,,R (Language),Documentary,English,"Catrin Einhorn , Leslye Davis","Leslye Davis , Catrin Einhorn , Nancy Gauss , Kathleen Lingo",,,"Jun 19, 2020",,1h 39m,,,
We Are One,", Forest Whitaker, Jimmy Carter, Harold Ramis, Maneka Gandhi",,Documentary,English,Kevin Mukherji,"Kevin Mukherji , Carlos Sanz , Qumaru Nisa",,,"Aug 26, 2018",,1h 26m,,,
The Silence of Others,,,Documentary,Spanish (Spain),"Robert Bahar , Almudena Carracedo","Robert Bahar , Almudena Carracedo","Ricardo Acosta , Robert Bahar , Almudena Carracedo , Kim Roberts","May 8, 2019 limited","Jul 2, 2020",$66.3K,1h 36m,Argot Pictures,,
Athlete A,", Maggie Nichols, Jerry Moran, Jen Sey",PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Documentary,English,"Bonni Cohen , Jon Shenk","Serin Marshall , Jen Sey , Julie Parker Benello",,,"Jun 25, 2020",,1h 43m,,,
Disclosure,", Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall, Dylan Baker, Roma Maffia, Dennis Miller, Allan Rich, Nicholas Sadler, Rosemary Forsyth, Suzie Plakson, Jacqueline Kim, Joe Uria",R,Mystery & thriller,English,Barry Levinson,"Barry Levinson , Michael Crichton",Paul Attanasio,,"Aug 22, 1997",$81.3M,2h 7m,,"Surround, Stereo",
Spelling the Dream,", Sanjay Gupta",,Documentary,English,Sam Rega,,,,"Jun 3, 2020",,,,,
I Am Divine,", Michael Musto, Mark Payne, Greg Gorman, Mink Stole, John Waters, Vincent Peranio, Pat Moran, Susan Lowe, Mary Vivian Pearce, Alonso Duralde",,Documentary,English,Jeffrey Schwarz,"Jeffrey Schwarz , Lotti Pharriss Knowles",,,"Apr 8, 2014",$63.7K,1h 30m,,,
A Secret Love,", Pat Henschel",,"Documentary, 
                        
                        Drama, 
                        
                        Lgbtq+",English,Chris Bolan,"Alexa L. Fogel , Brendan Mason , Ryan Murphy","Chris Bolan , Alexa L. Fogel",,"Apr 29, 2020",,1h 23m,,,
Circus of Books,", Karen Mason, Rachel Mason, Larry Flynt, Jeff Stryker, Phil Tarley, Justin Andrew Honard",,"Documentary, 
                        
                        Biography, 
                        
                        Lgbtq+",English,Rachel Mason,"Adam Baran , Cynthia Childs , Camilla Hall , Kathryn Robson","Kathryn Robson , Rachel Mason",,"Apr 22, 2020",,1h 32m,,,
LA Originals,", Estevan Oriol",,Documentary,English,Estevan Oriol,,,,,,,,,
Mighty Raju Rio Calling,,,Animation,Hindi,"Rajiv Chilaka , Anirban Majumder",Rajiv Chilaka,Darsana Radhakrishnan,,"Sep 8, 2017",,1h 38m,,,
Untamed Romania,", Victor Rebengiuc, Mark Strong",,Documentary,English (United Kingdom),Tom Barton-Humphreys,Alex Paun,"Tom Barton-Humphreys , Alex Paun",,"Oct 21, 2019",,1h 30m,,,
ROAD TO ROMA,", Alfonso Cuarón",,Documentary,English,Alfonso Cuarón,,,,,,,,,
To Be of Service,,,Documentary,English,Josh Aronson,"Josh Aronson , Julie Sayres",Josh Aronson,"Nov 1, 2019 limited","Nov 11, 2019",$6.0K,1h 28m,First Run,,
Fire in Paradise,", Noah Johnson",TVMA,Documentary,English,"Drea Cooper , Zackary Canepari",Gary Kout,,,"Nov 1, 2019",,40m,,,
A 3 Minute Hug,,,Documentary,Spanish,Everardo González,,Everardo González,,"Oct 28, 2019",,28m,,,
It Takes a Lunatic,", Alec Baldwin, Michael Douglas, Richard Gere, Connie Britton, Susan Lucci, Eric Bogosian",,"Documentary, 
                        
                        Biography, 
                        
                        Drama",English,Billy Lyons,Billy Lyons,,,"Oct 25, 2019",,2h 0m,,,
Tell Me Who I Am,", Andrew Caley, Alex Lewis XLI, Marcus Lewis XIV, Evan Milton, Kathleen Ray",,Drama,English,Ed Perkins,Simon Chinn,,,"Oct 18, 2019",,1h 25m,,,
Ghosts of Sugar Land,", Kc Okoro",,Documentary,English,Bassam Tariq,"Farihah Zaman , Bassam Tariq","Thomas Niles , Bassam Tariq",,"Oct 16, 2019",,21m,,,
Limitless,", Bradley Cooper, Robert De Niro, Abbie Cornish, Anna Friel, Andrew Howard, Johnny Whitworth, Tomas Arana, Robert John Burke, Darren Goldstein, Ned Eisenberg, T.V. Carpio, Richard Bekins, Patricia Kalember, Cindy Katz, Brian Anthony Wilson",PG-13 (Language|Disturbing Images|Sexuality|Thematic Material Invol Drugs|Violence),"Mystery & thriller, 
                        
                        Action",English,Neil Burger,"Leslie Dixon , Scott Kroopf , Ryan Kavanaugh",Leslie Dixon,"Mar 18, 2011 wide","Jul 19, 2011",$79.2M,1h 45m,Relativity Media,"SDDS, Dolby Digital",
Evelyn,", Pierce Brosnan, Aidan Quinn, Julianna Margulies, Stephen Rea, Sophie Vavasseur, Alan Bates, Niall Beagan, Hugh MacDonagh, Claire Mullan",PG (Thematic Material|Language),Drama,English,Bruce Beresford,"Pierce Brosnan , Beau St. Clair , Michael Ohoven",Paul Pender,"Dec 13, 2002 wide","Apr 27, 2010",$1.4M,1h 33m,United Artists,Surround,
Elena,,,Documentary,Spanish,Michele Stephenson,Joe Brewster,,,,,32m,,,
American Factory,", Sherrod Brown",,Documentary,English,"Steven Bognar , Julia Reichert","Steven Bognar , Julie Parker Benello , Jeff Reichert , Julia Reichert",,"Aug 21, 2019 limited","Aug 21, 2019",,1h 49m,Netflix,,
Screwball,", Bryan Blanco, Samuel Kai Taylor, Nicholas Ryan Hernandez, David Bolinger",,Documentary,English,Billy Corben,"Billy Corben , Alfred Spellman","David Cypkin , Billy Corben","Mar 29, 2019 limited","May 7, 2019",$13.6K,1h 45m,Greenwich Entertainment,,
Otherhood,", Angela Bassett, Patricia Arquette, Felicity Huffman, Jake Hoffman, Jake Lacy, Sinqua Walls, Heidi Gardner, Stephen Kunken, Damian Young, Afton Williamson, Becki Newton, Frank De Julio, Mario Cantone, Molly Bernard, Emily Tremaine, Tim Bagley",R (Brief Nudity|Sexual References|Language),Comedy,English,Cindy Chupack,"Jason Michael Berman , Cathy Schulman","Mark Andrus , Cindy Chupack","Aug 2, 2019 limited","Aug 2, 2019",,1h 40m,Netflix,,
The Great Hack,", Brittany Kaiser, David Carroll, Paul-Olivier Dehaye, Carole Cadwalladr, Christopher Wylie, Roger McNamee",,Documentary,English,"Karim Amer , Jehane Noujaim","Karim Amer , Geralyn White Dreyfous , Judy Korin","Karim Amer , Pedro Kos , Erin Barnett","Jul 24, 2019 limited","Jul 24, 2019",,2h 15m,Netflix,,
The Milk System,", Karim Cherif",,Documentary,German,Andreas Pichler,Christian Drewing,Andreas Pichler,,"Mar 7, 2019",,1h 35m,,,
Unbroken,", Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi, Finn Wittrock, Jai Courtney, Maddalena Ischiale, Vincenzo Amato, John Magaro, Luke Treadaway, Louis McIntosh, Ross Anderson, C.J. Valleroy, John D'Leo, Alex Russell, Jordan Smith, Spencer Rocco Lofranco, Stephen J. Douglas, Marcus Vanco",PG-13 (Intense Sequences of Brutality|Brief Language|War Violence),"Biography, 
                        
                        History, 
                        
                        Drama, 
                        
                        War",English,Angelina Jolie,"Angelina Jolie , Matthew Baer , Erwin Stoff , Clayton Townsend","Joel Coen , Ethan Coen , Richard LaGravenese , William Nicholson","Dec 25, 2014 wide","Mar 24, 2015",$115.6M,2h 17m,Universal Pictures,"Dolby Atmos, SDDS, Dolby Digital, Datasat",Scope (2.35:1)
The Edge of Democracy,", Dilma Rousseff, Luiz Inácio Lula da Silva, Marisa Letícia Lula Da Silva, Sérgio Moro, Eduardo Cunha, Jair Bolsonaro",,"Documentary, 
                        
                        History, 
                        
                        Drama",Portuguese (Brazil),Petra Costa,"Joanna Natasegara , Tiago Pavan , Petra Costa , Shane Boris","Petra Costa , Carol Pires , David Barker , Moara Passoni","Jun 19, 2019 limited","Jun 19, 2019",,1h 53m,Netflix,,
Life Overtakes Me,", Henry Ascher, Gellert Tamas",,Documentary,English,"Kristine Samuelson , John Haptas",John Haptas,,,"Jun 14, 2019",,39m,,,
Silent,", Patricia Raven, Michael Ciesla, Tony Dadika, Ed Bergtold, Nadja Hoyer-Booth, Katie Ritz, Mike Lubik, Sam Sebastian",,"Comedy, 
                        
                        Horror, 
                        
                        Mystery & thriller, 
                        
                        Romance",English,Michael Pleckaitis,Andrea Pleckaitis,"Michael Pleckaitis , Carl Frederick , Andrea Pleckaitis",,,,,,,
After Maria,,,Documentary,Spanish,Nadia Hallgren,Lauren Cioffi,,,"May 24, 2019",,37m,,Stereo,
A Tale of Two Kitchens,,,Documentary,Spanish,Trisha Ziff,"Daniela Alatorre , Elena Fortes","Trisha Ziff , Sheerly Avni",,"May 22, 2019",,30m,,,
Born in Syria,,,,,Hernán Zin,,,,,,,,,
Dying to Tell,,,,,Hernán Zin,,,,,,,,,
Weed the People,", Donald Abrams, Angela Smith, Josh Ryan, Tracy Ryan",,Documentary,English,Abby Epstein,"Giancarlo Canavesio , Sol Tryon",,"Oct 26, 2018 limited","Jan 23, 2019",$13.9K,1h 35m,Abramorama,,
Last Breath,", Luke Perry, Francie Swift, Gia Carides, David Margulies, Karen Shallo, LisaGay Hamilton, Diane Kagan, Maureen Shannon, Alison Hildreth, Bill McIntyre, Gerta Grunen",R,Mystery & thriller,English,P.J. Posner,"Michael W. Watkins , Alexa L. Fogel , P.J. Posner",,,,,1h 30m,,,
Grass Is Greener,", Cary Grant, Deborah Kerr, Robert Mitchum, Jean Simmons, Moray Watson",,Comedy,English,Stanley Donen,Stanley Donen,"Hugh Williams , Margaret Vyner","Dec 23, 1960 original","Mar 26, 2002",,1h 45m,"Republic Pictures, 
                        
                        Universal Pictures",,
Generation Iron 3,", Kai Greene, Jay Cutler, Dorian Yates",,Documentary,English,Vlad Yudin,"Edwin Mejia Jr. , Vlad Yudin",,,"Dec 30, 2018",,1h 46m,,,
The Legend of Cocaine Island,", Bo Butterworth, Bri Bryant, Andy Culpepper, Arthur Dean, Greg Engleberg, Rodney Hyden",,Documentary,English,Theo Love,"Bryan Storkel , Theo Love",,,"Mar 30, 2019",,1h 26m,,,
Weapon of Choice,,,Documentary,English,"Fritz Ofner , Eva Hausberger",Fritz Ofner,Fritz Ofner,,"Mar 2, 2019",,1h 30m,,,
Studio 54,", Ian Schrager, Norma Kamali, Bob Colacello, Nile Rodgers, Scott Bromley, Richie Williamson, Marc Benecke, Ron Galella",,"Documentary, 
                        
                        Lgbtq+",English,Matt Tyrnauer,"John Battsek , Corey Reeser , Matt Tyrnauer",,"Oct 5, 2018 limited","Jan 15, 2019",$199.7K,1h 38m,"Zeitgeist Films, 
                        
                        Kino Lorber",,
Behind the Curve,", Mark K. Sargent, Spiros Michalakis, Scott Kelly, Tim Urban, Patricia Steere, Math Powerland",,Documentary,English,Daniel J. Clark,"Nick Andert , Caroline Clark , Daniel J. Clark",,,"Nov 20, 2018",,1h 36m,,,
14 Minutes from Earth,", Alan Eustace, Taber MacCallum, Jane Poynter",,Documentary,English,"Adam ""Tex"" Davis , Jerry Kolber , Trey Nelson , Erich Sturm","Adam ""Tex"" Davis , Jerry Kolber","Adam ""Tex"" Davis , Jerry Kolber , Trey Nelson , Erich Sturm",,"Nov 19, 2016",,1h 26m,,,
Polar,", Jean-François Balmer, Sandra Montaigu, Pierre Santini, Roland Dubillard, Claude Chabrol, Jean-Paul Bonnaire, Marc Dudicourt, Gérard Hérold, Jean-Marie Lemaire, Gerard Loussine, Max Vialle, Jean Barney, Jean Cherlain, Jean-Louis Foulquier, Pierre Londiche, Hugues Quester, Francois Toumarkine, François Guérif",,Mystery & thriller,French (Canada),Jacques Bral,,,,,,1h 37m,,,
Abducted in Plain Sight,", Jan Broberg, Emily Kincaid, Jill Klopp, Lainee Rhodes, Sinclair DuMont, Sara Caldart Olson",,"Documentary, 
                        
                        Crime, 
                        
                        Drama",English,Skye Borgman,"Skye Borgman , Emily Kincaid , Stephanie Tobey",,,"Oct 16, 2018",,1h 31m,,,
Adhugo,", Nabha Natesh",,"Comedy, 
                        
                        Drama",Telugu,Ravi Babu,D.Suresh Babu,Ravi Babu,,"Jan 16, 2019",,1h 45m,,,
The Birth Reborn 3,", Robbie Davis-floyd, Márcio Garcia, Michel Odent",,"Documentary, 
                        
                        History, 
                        
                        Drama",Portuguese (Brazil),Eduardo Chauvet,Eduardo Chauvet,Érica de Paula,,"Jan 12, 2019",,1h 13m,,,
Sad Hill Unearthed,", Ennio Morricone, James Hetfield, Joe Dante, Clint Eastwood, Alex de la Iglesia, Sergio Salvati",,Documentary,English,Guillermo de Oliveira,"Guillermo de Oliveira , Luisa Cowell",Guillermo de Oliveira,,"Dec 17, 2018",,1h 26m,,,
Roll With Me,", Gabriel Cordell",,Documentary,Arabic,Lisa France,"Jeff Buccellato , Gabriel Cordell , Lisa France , Sharon Swart",,,"Dec 4, 2018",,1h 30m,,,
Shirkers,,,Documentary,English,Sandi Tan,"Jessica Levin , Maya Rudolph , Sandi Tan",,"Oct 26, 2018 limited","Oct 26, 2018",,1h 36m,Netflix,,
City of Joy,", Patrick Swayze, Pauline Collins, Om Puri, Shabana Azmi, Ayesha Dharkar, Santu Chowdury, Imran Badsah Khan, Art Malik, Shyamanand Jalan",PG-13,Drama,English,Roland Joffé,"Jake Eberts , Roland Joffé","Dominique Lapierre , Mark Medoff",,"Apr 6, 2004",$12.6M,2h 14m,,"Surround, Stereo",
The Bleeding Edge,,,Documentary,English (Australia),Kirby Dick,"Amy Herdy , Amy Ziering","Kirby Dick , Amy Ziering","Jul 27, 2018 limited","Jul 27, 2018",,1h 39m,Netflix,,
What We Started,", Steve Angello, Carl Cox, Chip Eberhart, Martin Garrix, David Guetta, Erick Morillo",,Documentary,English,"Bert Marcus , Cyrus Saidi","Bert Marcus , Cyrus Saidi , Cassandra Hamar Thornton , Lion Shirdan","Bert Marcus , Cyrus Saidi","Mar 23, 2018 limited","Mar 23, 2018",,1h 35m,Abramorama,,
Recovery Boys,", Jeff, Rush, Ryan Baldi, Nathan, Dave, Sutton",,Documentary,English,Elaine McMillion Sheldon,"Kristi Jacobson , Elaine McMillion Sheldon , Kerrin James Sheldon",,"Jun 29, 2018 limited","Jun 29, 2018",,1h 29m,Netflix,,
Food on the Go,", Pietro Sorba",,Documentary,English,Mercedes Cordova,"Valeria Forster , Alfredo Federico","Alessandro Di Nuzzo , Santiago Hadida",,"May 16, 2018",,1h 5m,,,
End Game,", Kurt Angle, Jenna Morasca, Sam Nicotero, Clayton Hill, Eric Wright, Jonas Chaney",R (Brief Language|Some Violent/Sexual Content),"Mystery & thriller, 
                        
                        Crime, 
                        
                        Drama",English,Bruce Koehler,,,,"Mar 13, 2017",,1h 33m,,,
Coffee for All,,,Documentary,Italian,"Fulvio Iannucci , Roly Santos","Alfredo Federico , Dario Lanis",Alessandro Di Nuzzo,,"May 2, 2018",,1h 8m,,,
The Rachel Divide,", Rachel Dolezal",,Documentary,English,Laura Brownson,"Laura Brownson , Bridget Stokes , Khaliah Neal",Laura Brownson,,"Apr 27, 2018",,1h 30m,,,
Mercury 13,", Jerrie Cobb, Eileen Collins",,Documentary,English,"David Sington , Heather Walsh","Trevor Birney , Brendan Byrne , Geraldine Creed , David Sington , Heather Walsh",,,"Apr 20, 2018",,1h 19m,,,
Take Your Pills,", Wendy Brown, Alan Schwarz, Eben Britton, Blue Williams, Corey Hebert, James Fadiman",,Documentary,English,Alison Klayman,"Christopher Clements , Julie Goldman , Carolyn Hepburn , Kate Osborn",,,"Mar 16, 2018",,1h 27m,,,
Ladies First,", Eddie Constantine, Mischa Auer",,Mystery & thriller,French (Canada),,,,,,,1h 30m,,,
The Secret,", Ulf Nyberg, Anders Nilsson, Janne Ström, Charly Wassberg Borbos, Richard Castefjord, Christian Sandström, Nicklas Nordborg, Pierre Wilén, Jan-Eric Granwalld, Kave Raufi, Lars-Ake Stoor",,"Comedy, 
                        
                        Horror, 
                        
                        Mystery & thriller",English,Paolo Vacirca,,Paolo Vacirca,,"Dec 1, 2020",,1h 30m,,,
Cuba and the Cameraman,", Jon Alpert",,Documentary,English,Jon Alpert,"Jon Alpert , Matthew O'Neill , Tessa Treadway",Jon Alpert,,"Nov 24, 2017",,1h 53m,,,
One of Us,", Christa B. Allen, Derek Smith, Carly Schroeder, Chasty Ballesteros, Ashley Wood, Lisseth Chavez, Ed Ackerman, Will Beinbrink, Paige Lauren Billiot, Mary O'Neil, Alison Floyd",,"Mystery & thriller, 
                        
                        Drama, 
                        
                        Horror",English,Blake Reigle,Buz Wallick,"Andrea Ajemian , Blaine Chiappetta",,"Mar 14, 2017",,1h 26m,,,
Kingdom of Us,", Jamie-Jodie Shanks, Kacie-Kimie Shanks, Lorie-Lanie Shanks, Mirie-Marie Shanks, Nikita-Nina Shanks, Osborn-Oran Shanks",,"Documentary, 
                        
                        Drama",English (United Kingdom),Lucy Cohen,"Thomas Benski , Julia Nottingham , Lucas Ochoa , Bill Rudgard , Tessa Treadway",,,"Oct 13, 2017",,1h 49m,,,
Generation Iron 2,", Kai Greene, Calum Von Moger, Rich Piana, Mamdouh Elssbiay, Ahmad Ashkanani, Iris Kyle",PG-13 (Some Language|Nudity|Drug Material|Thematic Elements),Documentary,English,Vlad Yudin,"Edwin Mejia , Vlad Yudin","Michael Kupisk , Vlad Yudin","May 12, 2017 limited","May 19, 2017",,1h 46m,The Vladar Company,,
Long Shot,", Larry David",TV14,Documentary,English,Jacob LaMendola,Mary Beth Minthorn,,,"Sep 29, 2017",,39m,,,
Out of Thin Air,", Smari Gunn, Ottó Gunnarsson, Ingi Hrafn Hilmarsson, Steinþór Hróar Steinþórsson",,Documentary,English,Dylan Howitt,,,,"Sep 29, 2017",,1h 25m,,,
Strong Island,", Yance Ford, Harvey Walker, Kevin Myers, Lauren Ford, David White, Ed Boyar",,Documentary,English,Yance Ford,"Yance Ford , Joslyn Barnes , Esther Robinson",,"Sep 15, 2017 limited","Sep 15, 2017",,1h 47m,Netflix,,
Resurface,,,Documentary,English,"Joshua Izenberg , Wynn Padula",Scott Stillman,,,"Sep 1, 2017",,22m,,,
I Called Him Morgan,", Lee Morgan, Helen Morgan, Wayne Shorter, Jymie Merritt, Bennie Maupin, Billy Harper, Art Blakey, Paul West",,Documentary,English,Kasper Collin,,Kasper Collin,"Mar 24, 2017 limited","Jun 27, 2017",$97.7K,1h 32m,Submarine Entertainment,,
